"280",9243,"Opérateurs/opératrices d'installations du traitement de l'eau et des déchets"
"281",9411,"Opérateurs/opératrices de machines dans le traitement des métaux et des minerais"
"282",9412,"Ouvriers/ouvrières de fonderies"
"283",9413,"Opérateurs/opératrices de machines à former et à finir le verre et coupeurs/coupeuses de verre"
"284",9414,"Opérateurs/opératrices de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre"
"285",9416,"Opérateurs/opératrices de machines à forger et à travailler les métaux"
"286",9421,"Opérateurs/opératrices d'installations de traitement des produits chimiques"
"287",9422,"Opérateurs/opératrices de machines de traitement des matières plastiques"
"288",9423,"Opérateurs/opératrices de machines de transformation du caoutchouc et personnel assimilé"
"289",9431,"Opérateurs/opératrices de machines à scier dans les scieries"
"290",9436,"Classeurs/classeuses de bois d'oeuvre et autres vérificateurs/vérificatrices et classeurs/classeuses dans la transformation du bois"
"291",9441,"Opérateurs/opératrices de machines et travailleurs/travailleuses de traitement des fibres et des fils textiles, du cuir et des peaux"
"292",9442,"Tisseurs/tisseuses, tricoteurs/tricoteuses et autres opérateurs/opératrices de machines textiles"
"293",9445,"Coupeurs/coupeuses de tissu, de fourrure et de cuir"
"294",9461,"Opérateurs/opératrices de machines et de procédés industriels dans la transformation des aliments et des boissons"
"295",9462,"Bouchers industriels/bouchères industrielles, dépeceurs-découpeurs/dépeceuses-découpeuses de viande, préparateurs/préparatrices de volaille et personnel assimilé"
"296",9463,"Ouvriers/ouvrières dans les usines de transformation du poisson et de fruits de mer"
"297",9465,"Échantillonneurs/échantillonneuses et trieurs/trieuses dans la transformation des aliments et des boissons"
"298",9472,"Photograveurs-clicheurs/photograveuses-clicheuses, photograveurs-reporteurs/photograveuses-reporteuses et autre personnel de prépresse"
"299",9473,"Opérateurs/opératrices de machines à relier et de finition"
"300",9521,"Monteurs/monteuses d'aéronefs et contrôleurs/contrôleuses de montage d'aéronefs"
"301",9522,"Assembleurs/assembleuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles"
"302",9523,"Assembleurs/assembleuses, monteurs/monteuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de matériel électronique"
"303",9524,"Monteurs/monteuses et contrôleurs/contrôleuses dans la fabrication de matériel, d'appareils et d'accessoires électriques"
"304",9525,"Assembleurs/assembleuses, monteurs/monteuses et contrôleurs/contrôleuses dans la fabrication de transformateurs et de moteurs électriques industriels"
"305",9526,"Monteurs/monteuses et contrôleurs/contrôleuses de matériel mécanique"
"306",9527,"Opérateurs/opératrices de machines et contrôleurs/contrôleuses dans la fabrication d'appareils électriques"
"307",9531,"Monteurs/monteuses de bateaux et contrôleurs/contrôleuses de montage de bateaux"
"308",9532,"Monteurs/monteuses et contrôleurs/contrôleuses de meubles et d'accessoires"
"309",9533,"Monteurs/monteuses et contrôleurs/contrôleuses d'autres produits en bois"
"310",9534,"Finisseurs/finisseuses et restaurateurs/restauratrices de meubles"
"311",9535,"Assembleurs/assembleuses, finisseurs/finisseuses et contrôleurs/contrôleuses de produits en plastique"
"312",9536,"Peintres, enduiseurs/enduiseuses et opérateurs/opératrices de procédés dans le finissage du métal – secteur industriel"
"313",9537,"Monteurs/monteuses, finisseurs/finisseuses et contrôleurs/contrôleuses de produits divers"
"314",9618,"Manoeuvres dans la transformation du poisson et des fruits de mer"
